,X1,PMCID,statistic,reported,df1,df2,p,value,n,context,sectionName,decision,doi,journalID,journalIDAbrev,title,issue,volume,call,realYear
11,11,PMC1884166,t,"t(11) = 2.047, p = 0.065",NA,11,p = 0.065,2.047,NA,"the experimental [t(11) = -3.53, p < 0.01] and post-experimental [t(11) = -3.02, p = 0.01] periods. While it was expected that returning ambient light (post-experimenta1) following darkness exposure would result in more immediate behavioral cessation, their decreased locomotion was not significant [t(11) = 2.047, p = 0.065]. Quadrant crosses were unaffected by reverse dialysis of either 250 or 1000 ŒºM AA [p > 0.05 in both cases] ruling out an effect of AA alone on locomotion. Like quadrant crossings, GLU increased dramatically when lights were off regardless of treatment (Fig. 2A,B). Relative to the lights-on group,",Results,2,10.1186/1471-2202-8-32,BMC Neuroscience,BMC Neurosci,Extracellular ascorbate modulates glutamate dynamics: role of behavioral activation,NA,8,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:1884166&metadataPrefix=pmc,2007
12,12,PMC1949819,t,"T = 1.72, df = 19, P = 0.10",NA,19,p = 0.10,1.72,NA,"nt's T = -0.35, df = 19, P = 0.73) and mononuclear (2.76+0.86 vs. 2.18+1.43 vó 109/l Student's T = -1.10, df = 19, P = 0.28) counts were similar (Table 3) as were their ranges (Table 4). Haemopoietic stem cells (HS's) were not different in the two groups (2.38+1.09 Vs. 3.40+4.56 cells/mcl, Student's T = 1.72, df = 19, P = 0.10). Endothelial progenitor cells (EPC's) were lower in the SUD (0.09+0.14 Vs. 0.26+0.20 cells/mcl, Student's T = 2.25, df = 19, P = 0.0367) both by absolute counts, and when numbers with EPC counts less than 0.15 vó 1011 were considered (Fisher Exact Test = 0.0299, Yates corrected Chi Squared 0.047, d",Results,1,10.1186/1747-597X-2-19,"Substance Abuse Treatment, Prevention, and Policy",Subst Abuse Treat Prev Policy,Deficit of circulating stem – progenitor cells in opiate addiction: a pilot study,NA,2,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:1949819&metadataPrefix=pmc,2007
13,13,PMC1949819,t,"T = -0.35, df = 19, P = 0.73",NA,19,p = 0.73,-0.35,NA,"96 WCC 4.00-12.10 5.30-11.80 Lymphocytes 1.60-3.50 1.00-3.40 Monocytes 0.20-1.00 0.40-1.20 Mononuclears 1.80-4.50 0.00-4.40 Neutrophils 1.80-7.50 2.90-7.10 CD34+CD45+ - HSC's 1.00-4.00 1.00-6.00 CD34+/KDR+ - EPC's 0.00-0.40 0.00-0.70 Absolute lymphocyte (2.23+0.67 vs. 2.12 + 0.78 vó 109/l, Student's T = -0.35, df = 19, P = 0.73) and mononuclear (2.76+0.86 vs. 2.18+1.43 vó 109/l Student's T = -1.10, df = 19, P = 0.28) counts were similar (Table 3) as were their ranges (Table 4). Haemopoietic stem cells (HS's) were not different in the two groups (2.38+1.09 Vs. 3.40+4.56 cells/mcl, Student's T = 1.72, df = 19, P = 0.10). End",Results,3,10.1186/1747-597X-2-19,"Substance Abuse Treatment, Prevention, and Policy",Subst Abuse Treat Prev Policy,Deficit of circulating stem – progenitor cells in opiate addiction: a pilot study,NA,2,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:1949819&metadataPrefix=pmc,2007
14,14,PMC1952064,t,"T(20) = 7.7, p < .0001",NA,20,p < .0001,7.7,NA,"135, range: 118-150, dyslexics: 126, range: 111-136; T(20) = 2.598, p < .0172). On average, control subjects had completed 16.3 yrs. of education compared to of 16.5 yrs for the dyslexics (T(20) < 1). Controls and dyslexics differed with respect to their spelling ability (R-T: 7.3 vs. 27.4 errors, T(20) = 7.7, p < .0001; dictation test: 19.8 vs. 98 errors, T(20) = 11.86, p < .0001). All participants received monetary compensation and gave informed consent to their participation. The study was approved by the ethics committees of Hannover Medical School and of the University of Magdeburg. Stimuli and procedureSubje",Methods,4,10.1186/1471-2202-8-52,BMC Neuroscience,BMC Neurosci,"Semantic, syntactic, and phonological processing of written words in adult developmental dyslexic readers: an event-related brain potential study",NA,8,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:1952064&metadataPrefix=pmc,2007
15,15,PMC1976096,chi,"œá2 (1) = .001, p = 1.0",NA,1,p = 1.0,0.001,NA,"personality disorder. There was no difference in occupation between ASPD vs. non-ASPD (œá2 (1) = .426, p = .422) and high- vs. 1ow HA (œá2 (1) = .344, p = .498) offenders. Participants were equally frequent divorced or unmarried in the ASPD vs. non-ASPD (œá2 (1) = .663, p = .468) and high- vs. 1ow HA (œá2 (1) = .001, p = 1.0) groups. TPQ scores and pairwise comparisonsThe TPQ higher-order means of the entire offender sample were as follows: NS 18.7 (SD 4.8), HA 17.9 (SD 6.8), and RD 15.5 (SD 4.9). TPQ mean scores and contrasts of the ASPD, non-ASPD, and control groups are displayed in Additional file 1. The significant",Results,4,10.1186/1471-244X-7-36,BMC Psychiatry,BMC Psychiatry,Tridimensional Personality Questionnaire data on alcoholic violent offenders: specific connections to severe impulsive cluster B personality disorders and violent criminality,NA,7,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:1976096&metadataPrefix=pmc,2007
16,16,PMC2018694,t,"T = -5.8, df = 269, p < .001",NA,269,p < .001,-5.8,NA,"-valueb Item 1 Sexual interest/desire Female (n = 280) 3.57 (1.53) -1.01 (1.62) T = -10.5, df = 279, p < .001 F(1, 370) = 0.9, p = .350 Male (n = 119) 3.25 (1.44) -0.71 (1.67) T = -4.7, df = 118, p < .001 Item 2 Erection (male); vaginal lubrication (female) Female (n = 270) 2.46 (1.56) -0.53 (1.52) T = -5.8, df = 269, p < .001 F(1, 360) = 7.6, p = .006 Male (n = 119) 2.72 (1.46) -0.29 (1.66) T = -1.9, df = 118, p = .055 Item 3 Ability to achieve orgasm Female (n = 267) 3.25 (1.64) -0.74 (1.74) T = -7.0, df = 266, p < .001 F(1, 354) = 4.3, p = .038 Male (n = 116) 2.55 (1.48) 0.14 (1.74) T = 0.9, df = 115, p = .396 Item 4",Results,2,10.1186/1471-244X-7-43,BMC Psychiatry,BMC Psychiatry,Duloxetine in the treatment of major depressive disorder: an open-label study,NA,7,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:2018694&metadataPrefix=pmc,2007
17,17,PMC2175503,F,"F(1,31) = .06, p = .80",1,31,p = .80,0.06,NA,"of Time, F(1,31) = 4.64, p = .04, indicating that valence ratings were more positive at t2 than t1 (compare Table 2). Repeated measures ANOVA for arousal ratings at t1 and t2 revealed no main effects of Group, F(1,31) = .34, p = .57, or Time, F(1,31) = .35, p = .56, or interaction of Group vó Time, F(1,31) = .06, p = .80. Table 2 Valence and arousal ratings Stress group Control group Time LSM SE LSM SE Valence t1 6.82 .48 6.81 .50 t2 6.06 .48 6.25 .50 t3 5.97 .55 6.72 .57 t4 5.74 .55 6.22 .57 Arousal t1 5.29 .59 5.81 .61 t2 5.12 .59 5.38 .61 t3 5.60 .52 5.06 .53 t4 5.30 .52 5.18 .53 Least square means (LSM) and sta",Results,1,10.1186/1471-244X-7-54,BMC Psychiatry,BMC Psychiatry,Lack of cortisol response in patients with posttraumatic stress disorder (PTSD) undergoing a diagnostic interview,NA,7,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:2175503&metadataPrefix=pmc,2007
18,18,PMC2216031,F,"F(6,330) = 3.17, p = .005",6,330,p = .005,3.17,NA,"ing and 9 = highly pleasant/highly arousing. Arousal ratings revealed main effects of Anxiety, F(1,55) = 16.79, p = .0001, Relevance, F(1,55) = 20.31, p < .0001, and Picture, F(6,330) = 23.72, p < .0001. Furthermore, interactions of Anxiety vó Picture, F(6,330) = 7.49, p < .0001, Relevance vó Picture F(6,330) = 3.17, p = .005, and Anxiety vó Relevance, F(1,55) = 4.32, p = .04, as well as the three-way interaction Anxiety vó Relevance vó Picture, F(6,330) = 2.37, p = .03, were significant. Whereas groups did not differ in arousal ratings for picture 1, a specific contrast revealed that spider phobic individuals rated pictur",Results,2,10.1186/1744-9081-3-59,Behavioral and Brain Functions,Behav Brain Funct,Spider phobics more easily see a spider in morphed schematic pictures,NA,3,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:2216031&metadataPrefix=pmc,2007
19,19,PMC2241834,chi,"œá2(1) = 6.40, p < .05",NA,1,p < .05,6.4,NA,"more likely to be younger, to have never been married, to have been living with parents, and to have been unemployed at the time of death. With regard to gender, while there were significant differences between those with schizophrenia and individuals in Group1 and Group2 [œá2(1) = 4.61, p < .05 and œá2(1) = 6.40, p < .05], the highest proportion of males was seen in Group2 (86.6%) (Tab. 1). Across all diagnostic groups, the majority of individuals had threatened to commit suicide at some point in time throughout their life. However, there was a significant difference between the three groups on frequency of communi",Results,4,10.1186/1752-4458-1-6,International Journal of Mental Health Systems,Int J Ment Health Syst,Communication of suicide intent by schizophrenic subjects: data from the Queensland Suicide Register,NA,1,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:2241834&metadataPrefix=pmc,2007
20,20,PMC2257968,F,"F 4.38,39.42 = 1.10, p = 0.373",4,39,p = 0.373,1.1,NA,"= 15.13, p < 0.001) resulting from increased houselight orientation on day 1 in all groups in comparison to the other days. Unconditioned behaviours - rearing, sniffing and grooming - during the dim period also showed neither a group effect (F 2,18 = 0.86, p = 0.434) nor a group vó day interaction (F 4.38,39.42 = 1.10, p = 0.373). The day effect was significant (F 2.19,39.42 = 12.26, p < 0.001), again resulting from increased unconditioned behaviours from all groups on day 1 in comparison to the other days. Data for lever orientation to the bright light are shown in Figure 4A. Both the group vó day interaction (F 3.86,34.71",Results,2,10.1186/1471-2202-9-16,BMC Neuroscience,BMC Neurosci,The pedunculopontine tegmental nucleus and the nucleus basalis magnocellularis: Do both have a role in sustained attention?,NA,9,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:2257968&metadataPrefix=pmc,2008
21,21,PMC2257968,F,"F(2,18) = 5.72, p = 0.012",2,18,p = 0.012,5.72,NA,"tistical significance. The main effect of day was also significant (F 1.93,34.71 = 13.03, p < 0.001). Follow up restricted one-way ANOVAs were performed to assess the effect of group on each day for the purpose of interpreting the interaction. Only data from day 1 showed a significant group effect: F(2,18) = 5.72, p = 0.012. Post-hoc Tukey tests showed that the significant difference was between the PPTg rats and control rats only (p = 0.009). Houselight orientation during the bright light is shown in Figure 4B. For this measure, the main effect of group was significant (F 2,18 = 6.36, p = 0.008). Post hoc Tukey tests",Results,2,10.1186/1471-2202-9-16,BMC Neuroscience,BMC Neurosci,The pedunculopontine tegmental nucleus and the nucleus basalis magnocellularis: Do both have a role in sustained attention?,NA,9,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:2257968&metadataPrefix=pmc,2008
22,22,PMC2263048,t,"t(13) = 3.68, P < 0.01",NA,13,p < 0.01,3.68,NA,"ion (F(2,26) = 1.23, Œµ = 0.8, P > 0.3, Œ<U+2211>p2 = 0.09), although a significant interaction was found (F(4,52) = 2.96, Œµ = 0.78, P < 0.05, Œ<U+2211>p2 = 0.19). This effect reflects a selective increase in the amplitude for the stressed syllable in the initial stress condition (first-syllable vs. third-syllable: t(13) = 3.68, P < 0.01, d = 0.86; see also Table 1), as well as in the third stressed syllable in the final stress condition (third-syllable vs. initial-syllable: t(13) = -2.25, P < 0.05, d = 0.78; third-syllable vs. second-syllable: t(13) = -2.01, P < 0.06, d = 0.56). For the medial stress condition, however, the larges",Results,1,10.1186/1471-2202-9-23,BMC Neuroscience,BMC Neurosci,Beneficial effects of word final stress in segmenting a new language: evidence from ERPs,NA,9,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:2263048&metadataPrefix=pmc,2008
23,23,PMC2330079,t,"t = 0.105, df = 27, p = 0.92",NA,27,p = 0.92,0.105,NA,") pack-years; non-smokers mean (S.E.) 0 (0) pack-years (p < 0.00001). Expired ethaneAs illustrated in Figure 1, the mean level of ethane in the alveolar breath of the group of smokers (2.53 (S.E. 0.55) ppb) was not significantly different from that of the group of non-smokers (2.59 (S.E. 0.29) ppb; t = 0.105, df = 27, p = 0.92). Figure 1 Box-and-whisker plots showing the levels of expired ethane (in ppb) in the two groups. The asterisk in the first group marks a statistical outlier. There was no significant difference in ethane level between the two groups. Further post-hoc analyses were carried out to determine whether",Results,1,10.1186/1471-244X-8-S1-S4,BMC Psychiatry,BMC Psychiatry,A comparison of oxidative stress in smokers and non-smokers: an in vivo human quantitative study of n-3 lipid peroxidation,Suppl 1,8,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:2330079&metadataPrefix=pmc,2008
24,24,PMC2367692,F,"F (3,82) = 3.27, P = 0.025",3,82,p = 0.025,3.27,NA,"lliseconds) to select ‚Äòred  or ‚Äòblue  as a function of the number of red boxes in the array (1-9).Post hoc analyses examined the impact of the increases in betting behaviour upon overall task performance. One-way ANOVA of the total points earned on the task indicated a significant group difference [F (3,82) = 3.27, P = 0.025]. The healthy control and lesion control groups did not differ (t51 = 0.799, P = 0.428), and when the control groups were pooled together, earnings were reduced in the insular cortex lesion group compared with the pooled controls (P = 0.003), but not in the vmPFC group (P = 0.375) (Table 2). Perfor",Results,2,10.1093/brain/awn066,Brain,Brain,Differential effects of insular and ventromedial prefrontal cortex lesions on risky decision-making,5,131,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:2367692&metadataPrefix=pmc,2008
25,25,PMC2409355,F,"F (4,38) = 78.3 P < 0.01",4,38,p < 0.01,78.3,NA,"s. LNAME+angiotensin II (Neuman-Keuls post-hoc test). Angiotensin II injected into the third ventricle increased mean arterial pressure and decreased heart rate. Nifedipine injected prior to angiotensin II decreased mean arterial pressure without changes in heart rate (F (4,38) = 81.3 P < 0.01) and F (4,38) = 78.3 P < 0.01 respectively. The increased of mean arterial pressure induced by angiotensin II (Œî17 ¬± 1 mmHg) was potentiated by L-NAME (25 ¬± 2 mmHg p < 0.01) with decreased in heart rate (Œî-60 ¬± 6 vs. -80 ¬± 10 bpm p < 0.05). Rats injected with nifedipine 100 Œºg prior to L-NAME followed by angiotensin II decrease",Results,2,10.1186/1744-9081-4-22,Behavioral and Brain Functions,Behav Brain Funct,Nitric oxide and L-type calcium channel influences the changes in arterial blood pressure and heart rate induced by central angiotesin II,NA,4,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:2409355&metadataPrefix=pmc,2008
26,26,PMC2423186,t,"t(5) = -4.63, p < 0.01",NA,5,p < 0.01,-4.63,NA,"Acidic ProteinGFAP was measured in the neostriatum at 72 h by Western blot (Fig. 7A) and expressed against actin levels (Fig. 7B) to verify that the dosing regimen of MA used here produced neurotoxicity. MA-exposed animals showed significantly increased GFAP levels compared to SAL-treated animals, t(5) = -4.63, p < 0.01, which represented a 54% ¬± 12% increase in GFAP expression from MA treatment. Values are expressed as percent control (Fig. 7C). Figure 7 GFAP levels 3 days following MA exposure by western blot analysis (mean ¬± SEM). (A) GFAP was increased in MA-treated animals at 72 h following the first dose com",Results,1,10.1186/1471-2202-9-49,BMC Neuroscience,BMC Neurosci,"Comparison of time-dependent effects of (+)-methamphetamine or forced swim on monoamines, corticosterone, glucose, creatine, and creatinine in rats",NA,9,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:2423186&metadataPrefix=pmc,2008
27,27,PMC2500014,t,"t(125) = 1.52, p > .1",NA,125,p > .1,1.52,NA,"e Gender Female/male Age M ¬± SD(range) Years of education BDIa BPRSb Medication Patients (N=96) 40/56 36.2 ¬± 12.2 (18-69) 12.4 ¬± 2.8 (8-20) 17.9 ¬± 11.3 (0-46) 50.5 ¬± 10.6 (25-77) Comparison Ss (N = 31) 15/16 40.3 ¬± 15.6 (19-70) 15.1 ¬± 2.9 (11-21) 3.3 ¬± 3.9 (0-12) - - Group Differences Chi2(1) = 0.4 t(125) = 1.52, p > .1 t(125) = 4.69* t(119) = 6.58** Major Depressive Disorder(N=39) 21/18 42.4 ¬± 13.7 (18-69) 12.9 ¬± 2.9 (8-20) 23.8 ¬± 10.9 (1-46) 49.4 ¬± 9 (27-65) None:2, N-Mix:15, AD-mix:3, SSRI/SNRI:16, Natyp:1,Benzo:1, MAO:1 Schizophrenia (N = 32) 10/22 32.6 ¬± 9.1 (19-50) 12.7 ¬± 3.2 (8-18) 13.3 ¬± 9.7 (0-36) 49.1 ¬±",Methods,4,10.1186/1471-244X-8-63,BMC Psychiatry,BMC Psychiatry,Stress load during childhood affects psychopathology in psychiatric patients,NA,8,https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:2500014&metadataPrefix=pmc,2008
